Gene	Transcript abundance	Protein abundance	Cook's distance
ENSBTAG00000031738	4.68878807923637	-0.172381208716387	0.0145028823598148
LRFN4	0.906708057246189	-1.96065758548793	0.00355739448015468
COG3	0.250407524633787	-2.93582699723176	0.00247976769325968
SPC24	2.07740183912213	2.5584263114691	0.0180664518596108
NEB	0.836260835746889	-4.79616716049707	0.0179732865535451
MTHFR	0.358968187807585	-4.03323097564148	0.00549978804209905
GOPC	-0.815609446264431	-2.36768308785143	0.003698596199876
CCDC22	0.0757532225459817	3.74318629096336	0.00369460514081395
TXN	0.195340035600738	-2.98613734661825	0.00240469883497189
MX1	-0.211867139788232	-3.9283866620365	0.00433478425512432
LAMA2	1.22695412364492	-1.36633525196234	0.00309279132996504
CATHL2	4.88564995793471	-1.9608629402658	0.143218884253517
CATHL3	0	-3.20285423770273	0.00249830992797851
CATHL1	4.83520855580268	-0.991297274080377	0.0576709082111715
ITGB3	-0.487890823590736	2.69818857274734	0.00369360277073142
MYO6	-0.413586716357251	-2.74212602155832	0.00271198010663998
MPV17L	-0.547934684361745	2.61856487990586	0.00390130075150479
PTPN11	-0.106731374959439	-4.32323833642647	0.00479218802935704
NEIL3	1.70540103889359	-0.837227073974809	0.00272446945719793
TRAPPC11	-0.146455630044743	-3.33787334810858	0.00290656755214031
CTNNA2	0	-5.45501776799417	0.00737966377028632
RAPGEF1	-0.207069285136724	-3.83242000931307	0.00409788321077532
XDH	-0.661366543638001	2.34503054392209	0.00391822834988498
ENSBTAG00000040134	0.409944745719257	-2.60689623055143	0.00249900467227623
KPNA2	1.29661750445987	2.0024128199095	0.00510936582075008
CYP7A1	1.67341706673316	1.21363659118598	0.00232397134003914
LRBA	-0.472913560938625	-2.76338226278197	0.00302477576980102
SLBP2	4.87615460903982	0	0.0112397495028009
CDH17	0.797347962178992	2.18553620815985	0.00318775598917481
ENSBTAG00000016472	-2.5118129543932	-1.1272089113882	0.00206367302008582
ENSBTAG00000048135	2.24388248605831	-0.476857321021183	0.0025430202035374
SPATA2L	0.657786113367226	2.05623552717986	0.00227017082387637
WASHC5	-0.222087986761179	-4.23300635387922	0.00511297811641479
HK3	-1.17951379291104	-3.22990647499375	0.0119415291726702
DLGAP5	1.66196068880743	-0.703912555177246	0.00195493036626145
PCBD1	-0.134414673328145	-6.14439933384548	0.0100079789011083
ZNF326	-0.154665844338039	-2.96353215243497	0.00229022964226706
